Source,Category,Source Type,URL,Collection Method,Priority,Enabled,Event Candidate,Source Digest Candidate,Availability,"Language","Notes"
Bloomberg Technology,Technology,Tier-1 media,https://feeds.bloomberg.com/technology/news.rss,RSS,High,Yes,Yes,Yes,Free,EN,
Reuters Daily Briefing,General,Tier-1 media,dailybriefing@thomsonreuters.com,Email,High,Yes,Yes,Yes,Free,EN,
Bloomberg Markets,Market,Tier-1 media,https://feeds.bloomberg.com/markets/news.rss,RSS,High,Yes,Yes,Yes,Free,EN,
Bloomberg Economics,Economics,Tier-1 media,https://feeds.bloomberg.com/economics/news.rss,RSS,High,Yes,Yes,Yes,Free,EN,
Bloomberg Opinion,long-form,Tier-1 media,https://feeds.bloomberg.com/bview/news.rss,RSS,High,Yes,No,No,Free,EN,
Bloomberg,Business,Tier-1 media,https://feeds.bloomberg.com/business/news.rss,RSS,High,Yes,Yes,Yes,Free,EN,
Financial Times,General,Tier-1 media,https://www.ft.com/news-feed,Web,High,Yes,Yes,Yes,Free,EN,
FT world,General,Tier-1 media,https://www.ft.com/rss/home/international,RSS,High,Yes,Yes,Yes,Free,EN,
FT Markets emergingmarkets,Market,Tier-1 media,https://www.ft.com/rss/markets/emerging,RSS,High,Yes,Yes,Yes,Free,EN,
FT Markets,Market,Tier-1 media,https://www.ft.com/markets?format=rss,RSS,High,Yes,Yes,Yes,Free,EN,
FT Company,Company,Tier-1 media,https://www.ft.com/rss/companies,RSS,High,Yes,Yes,Yes,Free,EN,
FT Economy,Economics,Tier-1 media,https://www.ft.com/rss/economy,RSS,High,Yes,Yes,Yes,Free,EN,
FT Lex Best,long-form,Tier-1 media,https://www.ft.com/rss/lex/best,RSS,High,Yes,No,No,Free,EN,
WSJ: Economy,Economics,Tier-1 media,https://feeds.content.dowjones.io/public/rss/socialeconomyfeed,RSS,High,Yes,Yes,Yes,Free,EN,
WSJ: World News,General,Tier-1 media,https://feeds.content.dowjones.io/public/rss/RSSWorldNews,RSS,High,Yes,Yes,Yes,Free,EN,
WSJ: Markets & Finance,Economics,Tier-1 media,https://feeds.content.dowjones.io/public/rss/RSSMarketsMain,RSS,High,Yes,Yes,Yes,Free,EN,
WSJ: Technology,Technology,Tier-1 media,https://feeds.content.dowjones.io/public/rss/RSSWSJD,RSS,High,Yes,Yes,Yes,Free,EN,
WSJ: US Business,Business,Tier-1 media,https://feeds.content.dowjones.io/public/rss/WSJcomUSBusiness,RSS,High,Yes,Yes,Yes,Free,EN,
WSJ: U.S. News,General,Tier-1 media,https://feeds.content.dowjones.io/public/rss/RSSUSnews,RSS,High,Yes,Yes,Yes,Free,EN,
WSJ: Politics,Politics,Tier-1 media,https://feeds.content.dowjones.io/public/rss/socialpoliticsfeed,RSS,High,Yes,Yes,Yes,Free,EN,
CNBC: World Markets,Market,Tier-1 media,http://www.cnbc.com/id/100003241/device/rss/rss.html,RSS,High,Yes,Yes,Yes,Free,EN,
CNBC: World Top News & Analysis,General,Tier-1 media,https://www.cnbc.com/id/100003114/device/rss/rss.html,RSS,High,Yes,Yes,Yes,Free,EN,https://www.cnbc.com/id/100003114
CNBC: Economy,Economics,Tier-1 media,https://www.cnbc.com/id/20910258/device/rss/rss.html,RSS,High,Yes,Yes,Yes,Free,EN,
CNBC: Business,Business,Tier-1 media,https://www.cnbc.com/id/10001147/device/rss/rss.html,RSS,High,Yes,Yes,Yes,Free,EN,
CNBC: Technology,Technology,Tier-1 media,https://www.cnbc.com/id/19854910/device/rss/rss.html,RSS,High,Yes,Yes,Yes,Free,EN,
CNBC: Investing,Financial,Tier-1 media,https://www.cnbc.com/id/15839069/device/rss/rss.html,RSS,High,Yes,Yes,Yes,Free,EN,
The Economist: Finance and economics,Economics,Tier-1 media,https://www.economist.com/feeds/print-sections/79/finance-and-economics.xml,RSS,High,Yes,Yes,Yes,Free,EN,这是最重要的，每天必看。
The Economist: Business,Economics,Tier-1 media,https://www.economist.com/feeds/print-sections/77/business.xml,RSS,High,Yes,No,Yes,Free,EN,
The Economist: Science and technology,Economics,Tier-1 media,https://www.economist.com/feeds/print-sections/80/science-and-technology.xml,RSS,High,Yes,No,Yes,Free,EN,
The Economist: Leaders,Economics,Tier-1 media,https://www.economist.com/leaders/rss.xml,RSS,High,Yes,No,Yes,Free,EN,Economist 社论，代表编辑部观点。
The Economist: Briefing,Economics,Tier-1 media,https://www.economist.com/briefing/rss.xml,RSS,High,Yes,Yes,Yes,Free,EN,很多长文，真正解释事件。
The Economist: Letters,Economics,Tier-1 media,https://www.economist.com/rss/letters_rss.xml,RSS,High,Yes,No,Yes,Free,EN,
The Economist: China,General,Tier-1 media,https://www.economist.com/feeds/print-sections/77729/china.xml,RSS,High,Yes,No,Yes,Free,EN,
The Economist: International,General,Tier-1 media,https://www.economist.com/feeds/print-sections/74/international.xml,RSS,High,Yes,Yes,No,Free,EN,
The Economist: United States,Economics,Tier-1 media,https://www.economist.com/united-states/rss.xml,RSS,High,Yes,Yes,Yes,Free,EN,
The Economist: Financial Indicators,Policy,Tier-1 media,https://www.economist.com/rss/indicators_rss.xml,RSS,High,Yes,Yes,Yes,Free,EN,经济数据表格
BBC: World,General,Tier-1 media,https://feeds.bbci.co.uk/news/world/rss.xml,RSS,High,Yes,Yes,No,Free,EN,
BBC: Business,Business,Tier-1 media,https://feeds.bbci.co.uk/news/business/rss.xml,RSS,High,Yes,Yes,Yes,Free,EN,
BBC: Technology,Technology,Tier-1 media,https://feeds.bbci.co.uk/news/technology/rss.xml,RSS,High,Yes,Yes,Yes,Free,EN,
BBC: Science & Environment,General,Tier-1 media,https://feeds.bbci.co.uk/news/science_and_environment/rss.xml,RSS,High,Yes,Yes,Yes,Free,EN,
Associated Press (AP 美联社),General,Tier-1 media,https://feedx.net/rss/ap.xml,RSS,High,Yes,Yes,Yes,Free,EN,全球通讯社，和 Reuters 类似。但美国政治、社会、突发事件更强。
The Guardian 卫报,General,Tier-1 media,https://www.theguardian.com/uk/rss,RSS,High,Yes,Yes,Yes,Free,EN,
The Associated Press,General,News Letter,morningwire@apnews.com,Email,Medium,Yes,No,Yes,Free,EN,
Fed - 美联储,Policy,Government / Institution,https://www.federalreserve.gov/feeds/press_monetary.xml,RSS,High,Yes,Yes,No,Free,EN,FOMC、利率决议、会议声明等货币政策内容。
BLS（美国劳工统计局）,Policy,Government / Institution,https://www.bls.gov/feed/bls_latest.rss,RSS,High,Yes,Yes,No,Free,EN,包含最新 CPI、PPI、就业、非农等所有重要经济数据发布。
CPI,Policy,Government / Institution,http://www.bls.gov/feed/cpi.rss,RSS,High,Yes,Yes,No,Free,EN,BLS 发布的 CPI 数据。每月的第二周（约每月 10 日 ~ 14 日之间）
PPI,Policy,Government / Institution,http://www.bls.gov/feed/ppi.rss,RSS,High,Yes,Yes,No,Free,EN,BLS 发布的 PPI 数据。CPI 公布后的 1 ~ 2 天内或同一周内公布
Job & Labor,Policy,Government / Institution,http://www.bls.gov/feed/jolts.rss,RSS,High,Yes,Yes,No,Free,EN,BLS 发布的 就业 数据。每月第一个周五，美国东部时间 08:30（北京时间夏令时 20:30 / 冬令时 21:30）
非农报告 Employment Situation,Policy,Government / Institution,http://www.bls.gov/feed/empsit.rss,RSS,High,Yes,Yes,No,Free,EN,每个月第一个周五的美国东部时间 08:30（对应北京时间冬令时 21:30 / 夏令时 20:30）
